"time_date","temperature","weather_con","comfort_feelslike","humidity","forecast","wind","humidity.1","location","visibility","pressure","dew_point"
2021-11-25 14:01:02, "29 °C", "Drizzle. Broken clouds.", "Feels Like: 36 °CForecast: 29 / 27 °CWind: 19 km/h <U+2191> from Northeast", "84%", "Forecast: 29 / 27 °C", "Feels Like: 36 °CForecast: 29 / 27 °CWind: 19 km/h <U+2191> from Northeast", "84%", "Madras / Minambakkam", "2 km", "1008 mbar", "26 °C"
2021-11-25 15:01:06, "30 °C", "Drizzle. Broken clouds.", "Feels Like: 37 °CForecast: 29 / 27 °CWind: 19 km/h <U+2191> from Northeast", "79%", "Forecast: 29 / 27 °C", "Feels Like: 37 °CForecast: 29 / 27 °CWind: 19 km/h <U+2191> from Northeast", "79%", "Madras / Minambakkam", "3 km", "1007 mbar", "26 °C"
2021-11-25 16:01:06, "30 °C", "Fog.", "Feels Like: 36 °CForecast: 29 / 27 °CWind: 22 km/h <U+2191> from Northeast", "75%", "Forecast: 29 / 27 °C", "Feels Like: 36 °CForecast: 29 / 27 °CWind: 22 km/h <U+2191> from Northeast", "75%", "Madras / Minambakkam", "3 km", "1007 mbar", "25 °C"
2021-11-25 17:01:02, "30 °C", "Fog.", "Feels Like: 36 °CForecast: 29 / 27 °CWind: 19 km/h <U+2191> from Northeast", "75%", "Forecast: 29 / 27 °C", "Feels Like: 36 °CForecast: 29 / 27 °CWind: 19 km/h <U+2191> from Northeast", "75%", "Madras / Minambakkam", "3 km", "1007 mbar", "25 °C"
2021-11-25 19:01:55, "29 °C", "Fog.", "Feels Like: 35 °CForecast: 29 / 27 °CWind: 11 km/h <U+2191> from Northeast", "79%", "Forecast: 29 / 27 °C", "Feels Like: 35 °CForecast: 29 / 27 °CWind: 11 km/h <U+2191> from Northeast", "79%", "Madras / Minambakkam", "4 km", "1009 mbar", "25 °C"
2021-11-25 20:01:07, "27 °C", "Drizzle. Fog.", "Feels Like: 31 °CForecast: 29 / 27 °CWind: No wind", "89%", "Forecast: 29 / 27 °C", "Feels Like: 31 °CForecast: 29 / 27 °CWind: No wind", "89%", "Madras / Minambakkam", "4 km", "1010 mbar", "25 °C"
2021-11-25 21:01:02, "28 °C", "Drizzle. Fog.", "Feels Like: 34 °CForecast: 29 / 27 °CWind: 11 km/h <U+2191> from Northeast", "89%", "Forecast: 29 / 27 °C", "Feels Like: 34 °CForecast: 29 / 27 °CWind: 11 km/h <U+2191> from Northeast", "89%", "Madras / Minambakkam", "4 km", "1011 mbar", "26 °C"
2021-11-25 22:01:02, "27 °C", "Thunderstorms. Partly cloudy.", "Feels Like: 31 °CForecast: 29 / 27 °CWind: 9 km/h <U+2191> from Southeast", "94%", "Forecast: 29 / 27 °C", "Feels Like: 31 °CForecast: 29 / 27 °CWind: 9 km/h <U+2191> from Southeast", "94%", "Madras / Minambakkam", "3 km", "1012 mbar", "26 °C"
2021-11-26 08:34:34, "27 °C", "Light rain. Broken clouds.", "Feels Like: 31 °CForecast: 27 / 26 °CWind: 7 km/h <U+2191> from Northeast", "94%", "Forecast: 27 / 26 °C", "Feels Like: 31 °CForecast: 27 / 26 °CWind: 7 km/h <U+2191> from Northeast", "94%", "Madras / Minambakkam", "2 km", "1010 mbar", "26 °C"
2021-11-26 09:01:03, "27 °C", "Rain. Broken clouds.", "Feels Like: 31 °CForecast: 27 / 26 °CWind: 11 km/h <U+2191> from Northeast", "94%", "Forecast: 27 / 26 °C", "Feels Like: 31 °CForecast: 27 / 26 °CWind: 11 km/h <U+2191> from Northeast", "94%", "Madras / Minambakkam", "2 km", "1011 mbar", "26 °C"
2021-11-26 10:01:04, "27 °C", "Thunderstorms. Broken clouds.", "Feels Like: 31 °CForecast: 27 / 26 °CWind: 7 km/h <U+2191> from Northeast", "94%", "Forecast: 27 / 26 °C", "Feels Like: 31 °CForecast: 27 / 26 °CWind: 7 km/h <U+2191> from Northeast", "94%", "Madras / Minambakkam", "2 km", "1012 mbar", "26 °C"
2021-11-26 11:01:02, "27 °C", "Fog.", "Feels Like: 31 °CForecast: 27 / 26 °CWind: 4 km/h <U+2191> from North", "94%", "Forecast: 27 / 26 °C", "Feels Like: 31 °CForecast: 27 / 26 °CWind: 4 km/h <U+2191> from North", "94%", "Madras / Minambakkam", "2 km", "1012 mbar", "26 °C"
